,mediaID,human_openpose,confidence_score,confidence_score_median
0,a04a5f21-5faf-46e7-a020-0c08b9ceeccd.jpg,1,"[{'Nose': [0, 0, 0.0], 'Neck': [616, 185, 0.26765475], 'RShoulder': [648, 196, 0.2181216], 'RElbow': [644, 267, 0.095532104], 'RWrist': [0, 0, 0.0], 'LShoulder': [581, 173, 0.25317258], 'LElbow': [514, 255, 0.1363976], 'LWrist': [0, 0, 0.0], 'MidHip': [569, 322, 0.2169976], 'RHip': [600, 326, 0.1739048], 'RKnee': [546, 400, 0.19836438], 'RAnkle': [514, 514, 0.30251285], 'LHip': [542, 310, 0.1673622], 'LKnee': [518, 392, 0.18652822], 'LAnkle': [514, 510, 0.24472092], 'REye': [0, 0, 0.0], 'LEye': [0, 0, 0.0], 'REar': [659, 141, 0.0654057], 'LEar': [616, 133, 0.061975807], 'LBigToe': [514, 530, 0.09199255], 'LSmallToe': [514, 522, 0.09078199], 'LHeel': [510, 514, 0.24038507], 'RBigToe': [0, 0, 0.0], 'RSmallToe': [0, 0, 0.0], 'RHeel': [514, 518, 0.30753526]}]",0.18440810963511467
1,ec13796a-d6c7-492b-964d-b0950740f8af.jpg,0,0,0.0
2,dcb6cbf8-f34c-4af9-a5d2-829ca2957919.jpg,0,0,0.0
3,2d3220f6-fc61-4db6-87a2-d433681dd430.jpg,0,0,0.0
4,2094a7b8-a43f-4036-9385-59ddb31ce173.jpg,0,0,0.0
5,b51fa62c-0142-4c33-a23a-5a7af992cedb.jpg,0,0,0.0
6,c7fbd6d3-8f02-43d4-bd58-ecf80456b84f.jpg,0,0,0.0
7,860117a0-dbd9-4f60-b56b-00a2bb04fc67.jpg,0,0,0.0
8,cbf31ecc-3ef8-42c4-8d11-62c6936093e1.jpg,0,0,0.0
9,bfafa353-291d-4570-b6aa-9201026f7f79.jpg,1,"[{'Nose': [1605, 867, 0.09742684], 'Neck': [1586, 903, 0.2303336], 'RShoulder': [1578, 891, 0.23830062], 'RElbow': [1527, 899, 0.12417564], 'RWrist': [0, 0, 0.0], 'LShoulder': [1593, 918, 0.19588557], 'LElbow': [0, 0, 0.0], 'LWrist': [0, 0, 0.0], 'MidHip': [1487, 946, 0.5411651], 'RHip': [1487, 930, 0.5195164], 'RKnee': [1366, 938, 0.5904228], 'RAnkle': [1228, 962, 0.4498183], 'LHip': [1491, 954, 0.5564344], 'LKnee': [1373, 965, 0.40190038], 'LAnkle': [1224, 962, 0.39622447], 'REye': [1605, 863, 0.083646566], 'LEye': [1613, 867, 0.07926678], 'REar': [1621, 891, 0.06405728], 'LEar': [1629, 883, 0.052202083], 'LBigToe': [1197, 946, 0.20693779], 'LSmallToe': [1193, 954, 0.22965586], 'LHeel': [1205, 962, 0.3512992], 'RBigToe': [1181, 934, 0.19779596], 'RSmallToe': [1181, 930, 0.22805114], 'RHeel': [1205, 962, 0.38037607]}]",0.28249513086947525
