,Unnamed: 0,observationID,deploymentID,sequenceID,sequence_index,mediaID,taxonID,scientificName,bbox,site,count,countNew,human
0,46,686a4430-41a7-49e2-9ba8-5d4815275278,03cfeb76-b754-44e4-ac07-e2543e0a998a,c5afc3b4-acfd-4eb0-a702-0fdcf0ccef4a,0,44e3608a-cc0a-49e2-9b36-54239ec6d3fe,6MB3T,Homo sapiens,,Amsterdamse Waterleidingduinen,1.0,,1
1,46,686a4430-41a7-49e2-9ba8-5d4815275278,03cfeb76-b754-44e4-ac07-e2543e0a998a,c5afc3b4-acfd-4eb0-a702-0fdcf0ccef4a,1,d16b711d-6cd1-41b8-8cfa-89f1dd2543a1,6MB3T,Homo sapiens,,Amsterdamse Waterleidingduinen,1.0,,1
2,46,686a4430-41a7-49e2-9ba8-5d4815275278,03cfeb76-b754-44e4-ac07-e2543e0a998a,c5afc3b4-acfd-4eb0-a702-0fdcf0ccef4a,2,fbb16a18-fb7d-4e4c-bd93-9738ed26f44b,6MB3T,Homo sapiens,,Amsterdamse Waterleidingduinen,1.0,,1
3,46,686a4430-41a7-49e2-9ba8-5d4815275278,03cfeb76-b754-44e4-ac07-e2543e0a998a,c5afc3b4-acfd-4eb0-a702-0fdcf0ccef4a,3,37dbf831-bbe1-4d9a-a581-448f9938cfc4,6MB3T,Homo sapiens,,Amsterdamse Waterleidingduinen,1.0,,0
4,46,686a4430-41a7-49e2-9ba8-5d4815275278,03cfeb76-b754-44e4-ac07-e2543e0a998a,c5afc3b4-acfd-4eb0-a702-0fdcf0ccef4a,4,f29d15e0-a955-4814-afd4-52edd1f937b0,6MB3T,Homo sapiens,,Amsterdamse Waterleidingduinen,1.0,,0
5,1753,a9eac176-8703-46e8-b53b-72c5d947b7d6,4964cbc0-78e2-4048-8f5f-d4f516efc064,bead27db-5f29-4dbf-a94c-16455b3b4f09,0,94b18837-a9ba-4e35-8364-b3141f321ef4,6MB3T,Homo sapiens,"[6.85321044921875, 0.0582733154296875, 164.4232940673828, 206.7919158935547]",Amsterdamse Waterleidingduinen,1.0,,1
6,1753,a9eac176-8703-46e8-b53b-72c5d947b7d6,4964cbc0-78e2-4048-8f5f-d4f516efc064,bead27db-5f29-4dbf-a94c-16455b3b4f09,1,407241e6-e7be-4cb3-9be0-520d3ad5a62c,6MB3T,Homo sapiens,"[466.887939453125, 191.19485473632812, 531.134765625, 259.03076171875]",Amsterdamse Waterleidingduinen,1.0,,1
7,1753,a9eac176-8703-46e8-b53b-72c5d947b7d6,4964cbc0-78e2-4048-8f5f-d4f516efc064,bead27db-5f29-4dbf-a94c-16455b3b4f09,2,dc0a445d-2ff4-4d5d-8a67-d99e999ac063,6MB3T,Homo sapiens,"[0.343048095703125, 1.2758558988571167, 76.30905151367188, 206.45816040039062]",Amsterdamse Waterleidingduinen,1.0,,1
8,1753,a9eac176-8703-46e8-b53b-72c5d947b7d6,4964cbc0-78e2-4048-8f5f-d4f516efc064,bead27db-5f29-4dbf-a94c-16455b3b4f09,3,8897a5e5-c653-4e93-bc62-c71146070316,6MB3T,Homo sapiens,"[0.38857269287109375, 1.0488510131835938, 83.37542724609375, 207.4930419921875]",Amsterdamse Waterleidingduinen,1.0,,1
9,1753,a9eac176-8703-46e8-b53b-72c5d947b7d6,4964cbc0-78e2-4048-8f5f-d4f516efc064,bead27db-5f29-4dbf-a94c-16455b3b4f09,4,b61ee015-2ae8-42e3-b447-a4b2f85e73e5,6MB3T,Homo sapiens,"[0.0, 1.1140211820602417, 79.16397094726562, 206.14608764648438]",Amsterdamse Waterleidingduinen,1.0,,1
