,Unnamed: 0.1,Unnamed: 0,observationID,deploymentID,sequenceID,sequence_index,mediaID,taxonID,scientificName,bbox,site,count,countNew,human,humanDetectron,id,score
0,3101,2379,9a272bb6-2ab1-4117-aeaf-3f54b1c00f73,1c453a9f-5ce1-4728-9f5c-665d3bc1b761,f9528d56-18a2-4bf9-8288-c80282e2ca76,14,000238d8-5a98-42d3-9be1-8c9f0b9e6f26,6MB3T,Homo sapiens,"[561.3890380859375, 0.0, 640.0000610351562, 283.43707275390625]",ARTIS,1.0,,1,1,0,0.8609662055969238
1,9275,22259,069f0ea0-7da4-4d08-9679-ba3b1ab38531,df44908f-252d-4882-8953-409a67b9b5fc,84489ee4-d2e3-47c3-ac49-1653aac68ed6,2,001613ce-c5d4-407e-a343-70ad9376840b,GCHS,Ardea cinerea,"[0.25525665283203125, 50.49365234375, 91.53587341308594, 377.1042785644531]",ARTIS,1.0,,0,0,0,0.0
2,2967,381,d9929ea8-ac96-41af-8a65-b79d979b7a07,0441a8dd-1e70-426e-a479-78dcdd11ef81,f61cef23-9bd4-4876-b06c-9e8169335354,1,001f15a3-d79f-426e-a06d-bac66d930b7a,7CYVX,Turdus merula,"[0.0, 201.3878631591797, 110.33831787109375, 316.74139404296875]",ARISE Gardens,1.0,,0,0,0,0.0
3,841,2516,ab175f47-58fd-42c2-a66b-fecac9248eb7,6cb4e169-b9c7-4ff2-8c10-fe69ef7eb3a8,5aa9ad58-fd01-4927-99df-4caeb4792c6d,4,002dcebc-f5f5-4934-a8cc-2e8f12e908ea,6MB3T,Homo sapiens,"[0.8026580810546875, 0.2173919677734375, 276.6463623046875, 352.4144592285156]",ARISE Gardens,1.0,,1,1,0,0.7838847041130066
4,8534,17287,0e11eda3-a597-4d0f-97da-6fae1d728522,aafdb4f4-15b0-4c0e-8e00-376ba7992d1e,6857081d-921d-46b3-a100-5d90faa8bd7e,6,004639ba-6f25-4999-b019-17b0a65598a3,GCHS,Ardea cinerea,"[9.243285179138184, 0.8885955810546875, 640.0000610351562, 468.4846496582031]",ARTIS,1.0,,0,1,0,0.5838258862495422
5,2683,1836,562d6203-7d5f-48ba-bf05-769122f40109,6c53bc2c-ccab-42de-b023-d226efee50b3,2ff782e2-b1aa-4ca7-a8cf-181ea4ee9a2c,4,004d3518-31c9-4e08-845a-98814ed15254,3DXV3,Felis catus,"[536.6424560546875, 110.66661071777344, 638.0755615234375, 283.93341064453125]",ARISE Gardens,1.0,,0,0,0,0.0
6,2683,1836,562d6203-7d5f-48ba-bf05-769122f40109,6c53bc2c-ccab-42de-b023-d226efee50b3,2ff782e2-b1aa-4ca7-a8cf-181ea4ee9a2c,4,004d3518-31c9-4e08-845a-98814ed15254,3DXV3,Felis catus,"[536.6424560546875, 110.66661071777344, 638.0755615234375, 283.93341064453125]",ARISE Gardens,1.0,,0,1,1,0.6250814199447632
7,511,645,8ee57ecf-deef-4dbc-b9cc-2bf9fde3f19e,2ae8868e-233d-4044-a314-a26ac2dea704,a387020a-6f5d-4ad9-b534-86bff5a51636,3,00774326-a38c-44cc-91e6-300140e435eb,6MB3T,Homo sapiens,"[436.40875244140625, 301.6321105957031, 504.129150390625, 356.1602478027344]",ARISE Gardens,1.0,,1,1,0,0.9704846143722534
8,2107,646,3c1b7c5c-b994-48be-aa9d-9837d2d1c834,2ae8868e-233d-4044-a314-a26ac2dea704,a387020a-6f5d-4ad9-b534-86bff5a51636,3,00774326-a38c-44cc-91e6-300140e435eb,5G6ZJ,Canis lupus familiaris,"[436.40875244140625, 301.6321105957031, 504.129150390625, 356.1602478027344]",ARISE Gardens,1.0,,1,1,0,0.9704846143722534
9,9719,20812,6bbbc130-7bb1-483f-bf4d-9bd30d4755fa,d1c6f43f-fb14-489a-bea5-ffc368edca74,2e5909ec-d29d-4c1c-b2f6-9d89ab523a10,0,00775314-a450-4995-8688-5e6e0a29c226,3F6VX,Gallinula chloropus,"[273.1513366699219, 237.0992431640625, 380.5893859863281, 321.438720703125]",ARTIS,1.0,,0,0,0,0.0
10,9719,20812,6bbbc130-7bb1-483f-bf4d-9bd30d4755fa,d1c6f43f-fb14-489a-bea5-ffc368edca74,2e5909ec-d29d-4c1c-b2f6-9d89ab523a10,0,00775314-a450-4995-8688-5e6e0a29c226,3F6VX,Gallinula chloropus,"[273.1513366699219, 237.0992431640625, 380.5893859863281, 321.438720703125]",ARTIS,1.0,,0,0,1,0.0
11,3783,10181,66237063-8ae7-4e10-b11a-a021dab4c7b4,7430a522-a42e-4b9b-a547-9a09602e0e50,774aec46-13bb-45a0-9f60-404fe424fa6f,3,0079add1-a27c-4ced-a9a3-73690395e9f3,6MB3T,Homo sapiens,"[415.66644287109375, 0.0, 489.77362060546875, 160.72564697265625]",ARTIS,1.0,,1,1,0,0.9926521182060242
12,3783,10181,66237063-8ae7-4e10-b11a-a021dab4c7b4,7430a522-a42e-4b9b-a547-9a09602e0e50,774aec46-13bb-45a0-9f60-404fe424fa6f,3,0079add1-a27c-4ced-a9a3-73690395e9f3,6MB3T,Homo sapiens,"[415.66644287109375, 0.0, 489.77362060546875, 160.72564697265625]",ARTIS,1.0,,1,1,1,0.9926521182060242
13,2348,4910,3202f1a3-b1e3-4910-8cb2-e52e9b960fef,f3893cca-1ab5-4942-bec1-aeb7b6cf07b2,f5955da2-960b-4e56-be18-f86bcd0b26a6,9,007a45ed-270a-453f-8139-a4db925f7a35,XBGG,Columba palumbus,"[0.0, 156.61306762695312, 160.96499633789062, 474.8749694824219]",ARISE Gardens,1.0,,0,0,0,0.0
14,2770,335,b5eaa5c9-cca0-4839-a5bf-54fafcf32823,0441a8dd-1e70-426e-a479-78dcdd11ef81,48cfcd95-d281-4a71-838a-52f10118a4d5,9,00818f40-38d0-4f41-bac8-fbd6f05038da,7CYVX,Turdus merula,"[229.5953369140625, 213.11318969726562, 339.00372314453125, 397.4503479003906]",ARISE Gardens,1.0,,0,0,0,0.0
15,8695,24750,959c04ed-c48a-4cee-91ec-1e9df7ac93c5,f07b009b-c0bc-481d-a823-0c7ef6d71a61,79d9eba6-e167-4592-a143-a8c11d11a95e,2,0085583f-d7fe-43f9-be20-c9ee26d5e4c3,4RM67,Rattus norvegicus,"[507.19525146484375, 193.1031951904297, 640.0000610351562, 283.41290283203125]",ARTIS,1.0,,0,0,0,0.0
16,9038,6608,ac336470-1c7d-4c5a-871c-a69ba3781c01,50e1bb6e-e3bc-4e81-95d0-8f4bb8e6deea,fbb4fed7-c3a1-46d2-83c8-172b3d5794f5,0,0087a4b8-1c55-4c48-a7ff-39cf2675e509,DGP6,Anas platyrhynchos,"[73.16941833496094, 119.41478729248047, 212.1595916748047, 239.57223510742188]",ARTIS,2.0,,0,0,0,0.0
17,7518,22592,5552d110-e23f-40b1-a0a1-827122c593e0,df44908f-252d-4882-8953-409a67b9b5fc,9bdf46e7-6e34-4acc-aa04-d33aa371728b,0,00889466-b224-4fbd-8201-7d09bcbd757d,DGP6,Anas platyrhynchos,,ARTIS,1.0,,0,0,0,0.0
18,2486,2353,70b69be7-5e31-4da6-8dd9-86492cf747f0,6c53bc2c-ccab-42de-b023-d226efee50b3,10c890d7-4926-4f7d-9e11-4d7cdff72efb,0,00a820a8-6f5d-4f65-b777-026d1b709e29,XBGG,Columba palumbus,"[86.77468872070312, 262.27178955078125, 396.5652770996094, 473.4988708496094]",ARISE Gardens,1.0,,0,0,0,0.0
19,666,1808,fa654f38-499f-4df6-ad6e-18f8383f6618,6c53bc2c-ccab-42de-b023-d226efee50b3,9a23642e-ba53-4d97-a9fc-9b92829b772c,14,00b416ca-1485-437c-9449-30deaf148c76,6MB3T,Homo sapiens,"[226.97994995117188, 15.059066772460938, 537.43310546875, 392.46038818359375]",ARISE Gardens,1.0,,1,1,0,0.9976847171783448
20,666,1808,fa654f38-499f-4df6-ad6e-18f8383f6618,6c53bc2c-ccab-42de-b023-d226efee50b3,9a23642e-ba53-4d97-a9fc-9b92829b772c,14,00b416ca-1485-437c-9449-30deaf148c76,6MB3T,Homo sapiens,"[226.97994995117188, 15.059066772460938, 537.43310546875, 392.46038818359375]",ARISE Gardens,1.0,,1,1,1,0.9976847171783448
21,2500,1523,4a465487-18a3-468a-95a7-c37460d2925c,61eb6f04-5f00-4165-8137-03dcbcc37ecf,4524a704-4227-4967-93c1-5735416703ba,4,00b77230-5fd7-4d20-871e-18e4c38261a0,6ZXPP,Streptopelia decaocto,"[497.2342529296875, 213.18829345703125, 640.0000610351562, 335.0555725097656]",ARISE Gardens,1.0,,0,0,0,0.0
22,7114,3874,d6ecea20-fb03-4335-9d34-ccb466395ffe,2e57ff36-a169-49ab-af37-3ec4f5b98f86,b1f5b025-7aa3-4f27-83b6-38b909037f5e,2,00b8b3d5-9e17-4795-ace0-23bcf45a1d80,4HPXM,Pica pica,"[0.0, 151.16917419433594, 205.03810119628906, 288.90252685546875]",ARTIS,1.0,,0,0,0,0.0
23,7333,8701,26d37bf5-a0f1-4927-b861-07f10b66c29c,676aaf52-d1e1-4f24-ac91-d701af96a357,58be1e17-e1a3-4582-a343-1fe09dc1af2b,10,00c37151-8d78-4fd3-ad6d-bbd72b30686f,7CYVX,Turdus merula,"[382.9584655761719, 233.2373504638672, 547.0111083984375, 407.57196044921875]",ARTIS,1.0,,0,0,0,0.0
24,7333,8701,26d37bf5-a0f1-4927-b861-07f10b66c29c,676aaf52-d1e1-4f24-ac91-d701af96a357,58be1e17-e1a3-4582-a343-1fe09dc1af2b,10,00c37151-8d78-4fd3-ad6d-bbd72b30686f,7CYVX,Turdus merula,"[382.9584655761719, 233.2373504638672, 547.0111083984375, 407.57196044921875]",ARTIS,1.0,,0,0,1,0.0
25,4939,23030,ac6342ed-097a-4930-b340-a4076c54228c,e3cb2ac2-3b6a-4549-b88b-8d0bbbe1e2a9,56938e68-6960-4fee-a110-39fe4b052bcd,0,00cd226f-0b0b-4997-aaae-b4d07940b8ae,,,,ARTIS,1.0,,0,1,0,0.9399420619010924
26,7127,23874,8ad8cee1-c61d-4c53-a342-eb1e514b38e8,e74b25ce-489d-4a6a-8b33-4d312e6bd414,30313367-17c4-49c4-b6bd-b3cef12d1ac0,4,00d9607a-e454-47f5-ae12-807a06b1b3ab,C5KM,Alopochen aegyptiaca,"[0.0, 184.72659301757812, 170.21371459960938, 461.1838684082031]",ARTIS,4.0,,0,0,0,0.0
27,7127,23874,8ad8cee1-c61d-4c53-a342-eb1e514b38e8,e74b25ce-489d-4a6a-8b33-4d312e6bd414,30313367-17c4-49c4-b6bd-b3cef12d1ac0,4,00d9607a-e454-47f5-ae12-807a06b1b3ab,C5KM,Alopochen aegyptiaca,"[0.0, 184.72659301757812, 170.21371459960938, 461.1838684082031]",ARTIS,4.0,,0,0,1,0.0
28,7127,23874,8ad8cee1-c61d-4c53-a342-eb1e514b38e8,e74b25ce-489d-4a6a-8b33-4d312e6bd414,30313367-17c4-49c4-b6bd-b3cef12d1ac0,4,00d9607a-e454-47f5-ae12-807a06b1b3ab,C5KM,Alopochen aegyptiaca,"[0.0, 184.72659301757812, 170.21371459960938, 461.1838684082031]",ARTIS,4.0,,0,0,2,0.0
29,7127,23874,8ad8cee1-c61d-4c53-a342-eb1e514b38e8,e74b25ce-489d-4a6a-8b33-4d312e6bd414,30313367-17c4-49c4-b6bd-b3cef12d1ac0,4,00d9607a-e454-47f5-ae12-807a06b1b3ab,C5KM,Alopochen aegyptiaca,"[0.0, 184.72659301757812, 170.21371459960938, 461.1838684082031]",ARTIS,4.0,,0,0,3,0.0
30,4071,14038,9ff95645-1eeb-4838-a72a-acfd4d207133,932e37bd-0f40-4de1-b1d6-61b3e8cf105d,f1b30c55-7906-4b99-b4c1-c1178546f9a8,0,00e9a01a-2078-4bb8-bc08-2d6e09f005f8,6MB3T,Homo sapiens,"[0.30489346385002136, 0.0, 165.63279724121094, 466.93316650390625]",ARTIS,1.0,,1,1,0,0.966579258441925
31,2668,1786,151a1e2a-6265-468d-88f2-e7563746abe0,6c53bc2c-ccab-42de-b023-d226efee50b3,b1dcf3b9-cdec-427d-aecb-50dccdcdb865,9,00ed75e9-bf2d-4d2e-9f6a-cf751a5d6ddc,3DXV3,Felis catus,"[165.00625610351562, 126.94353485107422, 294.927978515625, 361.45794677734375]",ARISE Gardens,1.0,,0,0,0,0.0
32,8772,11718,9c530e03-0203-41cb-9bde-40c25a8e2d15,835113fe-3461-4e1d-bcd8-bc867eb00fc9,fd032583-4886-4e06-8be4-17c166af2b90,9,00ee5bba-c652-47eb-87fc-3f93b70fd9e8,59PMR,Turdus philomelos,"[412.8394775390625, 125.88606262207031, 629.29248046875, 391.64312744140625]",ARTIS,1.0,,0,0,0,0.0
33,266,2416,d139dca1-2839-46bd-9edd-94fb008fe685,74b27b15-17b7-4fb9-bc25-2c64d31ea679,299e3c55-01d2-413d-b4fa-6f7348de3d8a,0,00fa51d9-cacb-4663-90b5-a0defcf1952b,74ZBP,Oryctolagus cuniculus,"[516.3904418945312, 131.11062622070312, 639.2283935546875, 234.47547912597656]",Amsterdamse Waterleidingduinen,1.0,,0,0,0,0.0
34,1914,3134,406fd53c-5a5d-41f1-aecd-805db5bc029c,80bfa563-9b46-4738-a093-802333ed0ff2,c83ef2e6-bd16-4c19-afc8-113407162f55,0,0102b4bf-e3d1-449b-b38f-30e6c190a107,4HPXM,Pica pica,"[1.4796142578125, 174.23324584960938, 315.56256103515625, 467.0581970214844]",ARISE Gardens,1.0,,0,0,0,0.0
35,678,1814,d8f90c94-4dca-4d6d-b1ed-5edce3eb5142,6c53bc2c-ccab-42de-b023-d226efee50b3,f8ca233f-5714-4d4e-aa48-4c875555db75,1,010877e9-7d8b-43c2-adf3-07c5205487fc,6MB3T,Homo sapiens,"[504.5924072265625, 3.4017486572265625, 639.906982421875, 353.32586669921875]",ARISE Gardens,1.0,,1,1,0,0.9895584583282472
36,678,1814,d8f90c94-4dca-4d6d-b1ed-5edce3eb5142,6c53bc2c-ccab-42de-b023-d226efee50b3,f8ca233f-5714-4d4e-aa48-4c875555db75,1,010877e9-7d8b-43c2-adf3-07c5205487fc,6MB3T,Homo sapiens,"[504.5924072265625, 3.4017486572265625, 639.906982421875, 353.32586669921875]",ARISE Gardens,1.0,,1,1,1,0.9519481658935548
37,678,1814,d8f90c94-4dca-4d6d-b1ed-5edce3eb5142,6c53bc2c-ccab-42de-b023-d226efee50b3,f8ca233f-5714-4d4e-aa48-4c875555db75,1,010877e9-7d8b-43c2-adf3-07c5205487fc,6MB3T,Homo sapiens,"[504.5924072265625, 3.4017486572265625, 639.906982421875, 353.32586669921875]",ARISE Gardens,1.0,,1,1,2,0.6104503870010376
38,8299,1702,1867dd0d-ef02-46d5-90e2-9dd4a4a34393,10eb7734-aac9-41aa-9f78-3bb1c336a884,c51f9b8a-6d37-45a8-88a1-9071597e3882,1,011809ba-345a-4599-9f2a-e7a4b3d4d765,4HPXM,Pica pica,"[295.4093322753906, 191.71719360351562, 459.6719055175781, 336.8644714355469]",ARTIS,1.0,,0,0,0,0.0
39,8299,1702,1867dd0d-ef02-46d5-90e2-9dd4a4a34393,10eb7734-aac9-41aa-9f78-3bb1c336a884,c51f9b8a-6d37-45a8-88a1-9071597e3882,1,011809ba-345a-4599-9f2a-e7a4b3d4d765,4HPXM,Pica pica,"[295.4093322753906, 191.71719360351562, 459.6719055175781, 336.8644714355469]",ARTIS,1.0,,0,0,1,0.0
40,8299,1702,1867dd0d-ef02-46d5-90e2-9dd4a4a34393,10eb7734-aac9-41aa-9f78-3bb1c336a884,c51f9b8a-6d37-45a8-88a1-9071597e3882,1,011809ba-345a-4599-9f2a-e7a4b3d4d765,4HPXM,Pica pica,"[295.4093322753906, 191.71719360351562, 459.6719055175781, 336.8644714355469]",ARTIS,1.0,,0,0,2,0.0
41,6831,6469,7bd69e9f-d3de-44cc-8a9a-156cca01ccb4,50e1bb6e-e3bc-4e81-95d0-8f4bb8e6deea,d4168919-6265-4792-8b90-cb3712ea3d42,1,0120034b-2f71-45c8-8e4a-40b3fd6bbab9,3F6VX,Gallinula chloropus,"[133.8101806640625, 149.21127319335938, 312.3288879394531, 267.0609130859375]",ARTIS,1.0,,0,0,0,0.0
42,6831,6469,7bd69e9f-d3de-44cc-8a9a-156cca01ccb4,50e1bb6e-e3bc-4e81-95d0-8f4bb8e6deea,d4168919-6265-4792-8b90-cb3712ea3d42,1,0120034b-2f71-45c8-8e4a-40b3fd6bbab9,3F6VX,Gallinula chloropus,"[133.8101806640625, 149.21127319335938, 312.3288879394531, 267.0609130859375]",ARTIS,1.0,,0,1,1,0.942997395992279
43,3913,12236,890a4c40-703c-4dfc-bc62-ba2b4c2f31ef,86c9e343-fbd0-4cac-bc10-85a4a7ecfe54,406d6893-0a25-439a-adc1-d1886e639741,2,013c73f3-7b36-4361-b20f-bf53705f8f79,6MB3T,Homo sapiens,,ARTIS,1.0,,1,1,0,0.5214940309524536
